date,state,county,cases,rank
2020-03-22,Virginia,other,314,100
2020-03-22,Virginia,Fairfax,134,1
2020-03-22,Virginia,Loudoun,40,3
2020-03-22,Virginia,Prince William,42,2
2020-03-22,Louisiana,other,612,100
2020-03-22,Louisiana,other,174,4
2020-03-22,Louisiana,East Baton Rouge,135,3
2020-03-22,Louisiana,Jefferson,578,1
2020-03-22,Louisiana,Orleans,880,2
2020-03-22,Louisiana,other,32,6
2020-03-22,Louisiana,other,112,5
2020-03-22,Minnesota,other,163,100
2020-03-22,Minnesota,Stearns,1,3
2020-03-22,Minnesota,Hennepin,100,1
2020-03-22,Minnesota,Ramsey,25,2
2020-03-22,Tennessee,other,326,100
2020-03-22,Tennessee,other,41,4
2020-03-22,Tennessee,Shelby,233,2
2020-03-22,Tennessee,Davidson,236,1
2020-03-22,Tennessee,Hamilton,28,3
2020-03-22,Wisconsin,other,314,100
2020-03-22,Wisconsin,Milwaukee,415,1
2020-03-22,Wisconsin,Racine,12,3
2020-03-22,Wisconsin,Brown,3,2
2020-03-22,California,other,2558,100
2020-03-22,California,Los Angeles,1453,1
2020-03-22,New Jersey,other,2570,100
